tweet_created_at,tweet_id_str,tweet_text,translation,link_to_tweet,hashtags,urls_in_text,user_id_str,user_screen_name,verified,tweet_is_quote_status,tweet_retweet_count,tweet_favorite_count,classification,context_information
2021-07-12 10:03:01,1414525696517496833,"Медики определили, кто имеет право не вакцинироваться от #Covid-19 - #Covid #COVID19Vaccine",Doctors have determined who has the right not to be vaccinated against # Covid-19 - #Covid # COVID19Vaccine,https:\twitter.com\sejchas_ru\status\1414525696517496833,"Covid, Covid, COVID19Vaccine",https://t.co/hpLUIPactn,20539845.0,sejchas_ru,False,False,0.0,0.0,Informative,"0.48017274,0.32693921,0.27214117,0.25450014,0.1789604 ,0.16254508,
 0.        ,0.        ,0.        ,0.        "
2021-07-11 16:49:30,1414265603834187777,"Вакцинация нужна, в обязательном порядке. Нельзя пренебрегать помимо своего здоровья, еще и чужим. Презерватив ведь не дает 100% гарантии, так же и с вакциной, но дает гарантию обхода летального исхода. Вакцинируйтесь! #covid19 #COVID19Vaccine #VACCINE","Vaccination is required, without fail. In addition to your health, you can not neglect someone else's. After all, a condom does not give a 100% guarantee, the same with a vaccine, but it gives a guarantee of bypassing the lethal outcome. Get vaccinated! # covid19 # COVID19Vaccine #VACCINE",https:\twitter.com\JamOs61848768\status\1414265603834187777,"covid19, COVID19Vaccine, VACCINE",,1.2862759627038392e+18,JamOs61848768,False,False,0.0,0.0,Informative,"0.18687538,0.18687538,0.16855316,0.15555333,0.13723111,0.10984095,
 0.10229208,0.        ,0.        ,0.        "
2021-07-10 14:32:58,1413868855148036099,#COVID19Vaccine #wtf агитация оригинальная https://t.co/2UnTCENJrD,#COVID19Vaccine #wtf Main campaign https://t.co/2UnTCENJrD ,https:\twitter.com\pastywka\status\1413868855148036099,"COVID19Vaccine, wtf",,1.3178699832721408e+18,pastywka,False,False,0.0,0.0,Misinformative,"0.,0.,0.,0.,0.,0.,0."
2021-07-08 15:11:03,1413153664349396993,"держу в курсе у меня ужасно болит рука, прошло 3 часа с вакцинирования #COVID19Vaccine #вакцинация","I keep in touch my arm hurts terribly, it's been 3 hours since vaccination # COVID19Vaccine # vaccination",https:\twitter.com\sanyawhereareu\status\1413153664349396993,"COVID19Vaccine, вакцинация",,1.4129174895294996e+18,sanyawhereareu,False,False,0.0,0.0,Unverified,"0.19058164,0.        ,0.        ,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.        "
2021-07-05 16:49:41,1412091323574849545,"⚡💉👥🏳️‍🌈🌐World🌐club #COVID19Vaccine  💁‍♂️Заметили, как только исчезли упоминания 📰🇪🇺🇺🇸 о токсичности' 'нашей власти', 'токсичным'👨‍👩‍👧‍👦💉💉 стало всё население России⁉️ https://t.co/A1Pov6S4mb",Worldclub # COVID19Vaccine ⁉️ https://t.co/A1Pov6S4mb,https:\twitter.com\ANo1505\status\1412091323574849545,COVID19Vaccine,,550145855.0,ANo1505,False,False,1.0,3.0,Unverified,"0.25007016,0.19466276,0.        ,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.        "
2021-06-21,1406869066900512770,"Каждый уважающий себя концентрационный лагерь, должен обязательно испытывать препараты на детях. #ковид #вакцина #Москва",Every self-respecting concentration camp should definitely test drugs on children. #ковид#вакцина#Москва,https://twitter.com/OlegFren/status/1406869066900512770?s=20,вакцина (vaccine),,,OlegFren,,,,,Unverified,"0.28718478,0.19091512,0.        ,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.        "
6/20/21,1406692615840534533,"#вакцина , будем реалистами: если все умрут от вакцины, кто тогда будет раболепствовать для сильных мира сего? Глупости не придумывайте. ценности экономические ни куда не делись, они были много тысяч лет такими и останутся","#вакцина, let's be realistic: if everyone dies from the vaccine, then who will be servile for the powerful? Do not invent nonsense. economic values have not gone anywhere, they have been like this for many thousands of years and will remain",https://twitter.com/AlexMur99327093/status/1406692615840534533?s=20,вакцина (vaccine),,,AlexMur99327093,,,,,Unverified,"0.21294452,0.19451206,0.1754411 ,0.16191004,0.16191004,0.16191004,
 0.15141453,0.13558863,0.09670599,0.        "
6/20/21,1406589090884198404,"В стране, где не могут сделать эффективных лекарственных препаратов для диабетиков, онкологических больных и т.д. (список можно продолжать бесконечно), вдруг взяли и изобрели лучшую вакцину в мире, ага!#СпутникV #вакцина","In a country where they cannot make effective medicines for diabetics, cancer patients, etc. (the list is endless), suddenly they took and invented the best vaccine in the world, aha!#СпутникV#вакцина",https://twitter.com/xxxamorexxx/status/1406589090884198404?s=20,вакцина (vaccine),,,xxxamorexxx,,,,,Unverified,"0.22043085,0.19881868,0.19881868,0.1834846 ,0.1834846 ,0.15365586,
 0.12065972,0.        ,0.        ,0.        "
6/18/21,1405827659360313344,Вакцина для детей в возрасте от 15 до 17 лет будет зарегистрирована в России в середине сентября. Разработчики также не выявили никаких побочных эффектов при применении вакцины в виде капель в нос среди детей в возрасте от 8 до 12 лет. #COVID19 #вакцина,The vaccine for children aged 15 to 17 will be registered in Russia in mid-September. The developers also did not find any side effects when using the vaccine in the form of nasal drops among children aged 8 to 12 years.#COVID19#вакцина,https://twitter.com/life4meplus_ru/status/1405827659360313344?s=20,вакцина (vaccine),,,life4meplus_ru,,,,,Informative,"0.33097421,0.27549986,0.16548711,0.16548711,0.16548711,0.16548711,
 0.16455117,0.1492619 ,0.13774993,0.11535619"
6/20/21,1406573397677645826,"#Вакцина Медики отмечают, что Спутник V помогает организму избавиться от застарелой простуды и облегчает состояние астматиков.",#Вакцина Doctors note that Sputnik V helps the body get rid of chronic colds and relieves asthmatics.,https://twitter.com/KotenokIks/status/1406573397677645826?s=20,вакцина (vaccine),,,KotenokIks,,,,,Misinformative,"0.20124409,0.15050504,0.        ,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.        "
