tweet_created_at,tweet_id_str,tweet_text,translation,link_to_tweet,hashtags,urls_in_text,user_id_str,user_screen_name,verified,tweet_is_quote_status,tweet_retweet_count,tweet_favorite_count,classification,context_information
7/9/21 14:45,1413509732828991488,La EMA ha recomendado que las personas con antecedentes de síndrome de extravasación capilar no se vacunen con #COVID19vaccine Janssen. https://t.co/PJXQbFoSKZ?amp=1  #healthcare #COVID19vaccine,The EMA has recommended that people with a history of capillary leak syndrome must not be vaccinated with #COVID19vaccine Janssen. https://t.co/YghuIPRgEf?amp=1 #healthcare #COVID19vaccine,https://twitter.com/cvamarosa/status/1413509732828991488,COVID19vaccine,"https://t.co/PJXQbFoSKZ, https://t.co/OGyf04Zjtd",1007350968.0,cvamarosa,False,True,0,2,Informative,"0.26024738,0.26024738,0.26024738,0.26024738,0.26024738,0.26024738,
 0.2252475 ,0.18115288,0.        ,0.        "
7/8/21 17:53,1413194442820001797,😎Gotitas del saber sobre la vacuna del #COVID19Vaccine @camcitco  @NHSuk @cecf_uk : https://t.co/rklLNoxH3a,😎Droplets of knowledge about the #COVID19Vaccine vaccine @camcitco @NHSuk @cecf_uk:,https://twitter.com/TechngArtist/status/1413194442820001797,COVID19Vaccine,,177686923.0,TechngArtist,False,False,0,0,Informative,"0.31286919,0.25162167,0.21127896,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.        "
7/7/21 19:24,1412855080613814282,Si tu o algún familiar ya completaron su esquema de vacunación contra #Covid19 en México 🇲🇽 es importante que obtengan su certificado de #vacunacion #puntosecurity  #covid19vaccine #covid19mexico #healthawareness  Comparto información para su trámite!  https://t.co/ZlRgmzf7p4,If you or a family member have already completed your vaccination schedule against #Covid19 in Mexico 🇲🇽 it is important that you obtain your certificate of #vacunacion #puntosecurity #covid19vaccine #covid19mexico #healthawareness I share information for your process! https://lnkd.in/gZQ6R8M,https://twitter.com/PuntoSTA/status/1412855080613814282,"Covid19, vacunacion, puntosecurity, covid19vaccine, covid19mexico, healthawareness",https://t.co/24zPgtDyG7,1.0165e+18,PuntoSTA,False,False,0,1,Informative,"0.22414397,0.22414397,0.22414397,0.22414397,0.22414397,0.22414397,
 0.22414397,0.19399953,0.17261171,0.15602203"
7/7/21 14:49,1412785888887808001,"#Colombia #Moderna #COVID19Vaccine  A Colombia la dosis de Moderna le vale USD$30, en USA  USD$15, y para producirla vale USD$3 ...","#Colombia#Moderna#COVID19Vaccine In Colombia the dose of Moderna is worth USD $ 30, in the USA USD $ 15, and to produce it it is worth USD $ 3",https://twitter.com/edgarmtoro/status/1412785888887808001,"Colombia, Moderna, COVID19Vaccine",https://t.co/SJG9nf4peb,366279226.0,edgarmtoro,False,True,1,1,Informative,"0.38862782,0.19431391,0.19431391,0.19431391,0.19431391,0.        ,
 0.        ,0.        ,0.        ,0.        "
6/22/21 20:04,1407489645936513024,"No te quieres vacunar, no deberías exigir una cama en UCI, ni culpes a nadie por tu irresponsabilidad #YoNoMeVacuno #COVID19 #Covid_19","If you don't want to be vaccinated, you shouldn't demand a bed in the ICU nor blame anyone for your irresponsibility #YoNoMeVacuno #COVID19 #Covid_19",https://twitter.com/drjuanjoq/status/1407489645936513024,"YoNoMeVacuno, COVID19, Covid_19",,,drjuanjoq,False,False,4,6,Unverified,"0.30665676,0.30665676,0.30665676,0.26541543,0.23615424,0.        ,
 0.        ,0.        ,0.        ,0.        "
6/16/21 6:55,1405116694213939213,"Acaban de llamarme para la vacuna. He dicho que no, que #YoNoMeVacuno. La persona que me llamó, me dijo que no puedo negarme y que habrá consecuencias. He colgado sin decir nada más. Y a ver...","They just called me for the vaccine. I said no, that #YoNoMeVacuno. The person who called me told me that I cannot refuse and that there will be consequences. I hung up without saying anything else. And let's see ...",https://twitter.com/_tracia_/status/1405116694213939213,YoNoMeVacuno,,,_tracia_,False,False,113,522,Unverified,"0.28418121,0.28418121,0.28418121,0.28418121,0.28418121,0.28418121,
 0.24596255,0.16609725,0.        ,0.        "
6/18/21 15:24,1405969675390013440,"Si no quieren vacunarse, NO SE VACUNEN! No cedan a la presión del entorno, no pongan en riesgo sus vidas. Con su libre albedrío pueden decir NO 😤 No permitan que otros decidan por ustedes, usen su poder personal para decidir USTEDES por sus vidas 💪  #YoNoMeVacuno","If you don't want to get vaccinated, DON'T GET VACCINATED! Do not give in to the pressure of the environment, do not put your lives at risk. With your free will you can say NO Do not allow others to decide for you, use your personal power to decide YOU for yourselves",https://twitter.com/thannefa/status/1405969675390013440,YoNoMeVacuno,,,thannefa,False,False,40,117,Unverified,"0.39007592,0.19503796,0.19503796,0.19503796,0.19503796,0.19503796,
 0.19503796,0.19503796,0.19503796,0.19503796"
6/18/21 4:50,1405810012098859013,"Voy conociendo personalmente casos cercanos de fallecidos a causa de la inoculación. Sus familiares no reaccionan. En muchos casos, supongo que no desean remover la convicción de haber colaborado en el crimen por incitar al pinchazo. #plandemia #YoNoMeVacuno","I personally know close cases of deaths due to inoculation. His relatives do not react. In many cases, I suppose they do not wish to remove the conviction of having collaborated in the crime by inciting the prick. #plandemic #YoNoMeVacuno",https://twitter.com/mvaleraes/status/1405810012098859013,"plandemia, YoNoMeVacuno",,,mvaleraes,False,False,240,565,Unverified,"0.41894555,0.20947277,0.20947277,0.20947277,0.20947277,0.20947277,
 0.20947277,0.20947277,0.20947277,0.        "
6/22/21 7:53,1407305710963204103,"El covid se esta llevando a mi primo, de mi misma edad y sin comorbilidad.El covid no solo te destruye los pulmones, sino que debilita todos tus órganos, y destruye a tu familia. Cuídense y vacúnense,estoy segura que la vacuna salvaba su vida. Maxi💙 #VacunaCOVID19 #YoNoMeVacuno","The covid is taking my cousin, my same age and without comorbidity. The covid not only destroys your lungs, but it weakens all your organs, and destroys your family. Take care of yourselves and get vaccinated, I'm sure the vaccine saved your life. Maxi # VacunaCOVID19 #YoNoMeVacuno",https://twitter.com/ChiliViera/status/1407305710963204103,"VacunaCOVID19, YoNoMeVacuno",,,ChiliViera,False,False,3,41,Unverified,"0.28084897,0.20173627,0.20173627,0.20173627,0.20173627,0.20173627,
 0.20173627,0.20173627,0.20173627,0.11791011"
6/17/21 1:45,1405401093115465731,"Según la prensa yo no existo. No hay nadie que no quiera vacunarse per se. Tienes justificante o ""rechazas la que te toca' y eso es mentira. Somos much@s quienes no queremos participar en este experimento de locos. Con ninguna y de ninguna manera. No al chantaje #YoNoMeVacuno","According to the press, I don't exist. There is no one who does not want to be vaccinated per se. You have justification or ""you reject the one that touches you"" and that is a lie. There are many of us who do not want to participate in this crazy experiment. With no and no way. No to blackmail #YoNoMeVacuno",https://twitter.com/VirtudesLpezPer/status/1405401093115465731,YoNoMeVacuno,,,VirtudesLpezPer,False,False,0,4,Unverified,"0.42845095,0.21422548,0.21422548,0.21422548,0.21422548,0.21422548,
 0.21422548,0.21422548,0.18541495,0.18541495"
1/13/21 13:00,1349416072315863040,¿Cuáles son los efectos secundarios de la #VacunadeCOVID? Lea este breve artículo para saber qué esperar. https://mychn.org/efectos-secundarios-de-la-vacuna-covid-19/… #HFMUHCL,What are the side effects of #COVIDVaccine? Read this short article to find out what to expect. https://mychn.org/efectos-secundarios-de-la-vacuna-covid-19/ #HFMUHCL,https://twitter.com/HFMUHCL/status/1349416072315863040,"VacunadeCOVID, HFMUHCL",https://t.co/qxpQgCkFX1?amp=1,,HFMUHCL,False,False,0,0,Informative,"0.41998522,0.41998522,0.24262212,0.24262212,0.24262212,0.20999261,
 0.18684161,0.16888429,0.16888429,0.14180693"
1/28/21 9:02,1354792049187446784,¡Lea sobre algunos consejos que harán que los efectos secundarios de la vacuna COVID-19 sean más fáciles de manejar! http://ow.ly/pncw50DiUXf #EsMiTurno #MiCHN #VacunadeCOVID,Read up on some tips that will make COVID-19 vaccine side effects easier to manage! http://ow.ly/pncw50DiUXf #EsMiTurno #MiCHN #VacunadeCOVID,https://twitter.com/MyCHNetwork/status/1354792049187446784,"EsMiTurno, MiCHN, VacunadeCOVID",https://t.co/UK1Uu5cjUX?amp=1,,MyCHNetwork,False,False,0,0,Informative,"0.27209597,0.23550261,0.23550261,0.20953921,0.18940043,0.15903371,
 0.        ,0.        ,0.        ,0.        "
